season,game_type,team,week,Player,Position,Injury,Wed,Thu,Fri,Game Status,Mon,Tue,Sat
2025,REG,BUF,1,Jaire Alexander,CB,Knee,LP,FP,FP,(-),,,
2025,REG,BUF,1,Daniel Faalele,G,Illness,LP,FP,FP,(-),,,
2025,REG,BUF,1,Isaiah Likely,TE,Foot,DNP,DNP,DNP,OUT,,,
2025,REG,BUF,1,Patrick Ricard,FB,Calf,DNP,DNP,DNP,OUT,,,
2025,REG,BUF,2,Christian Benford,CB,Groin,FP,FP,FP,(-),,,
2025,REG,BUF,2,Brandon Codrington,CB/RET,Knee,LP,FP,FP,(-),,,
2025,REG,BUF,2,Keon Coleman,WR,Groin,FP,FP,FP,(-),,,
2025,REG,BUF,2,James Cook,RB,Hamstring,LP,FP,FP,(-),,,
2025,REG,BUF,2,Shaq Thompson,OLB,Hamstring/Hand,DNP,LP,LP,QUESTIONABLE,,,
2025,REG,BUF,2,Taron Johnson,CB,Quad,DNP,LP,LP,QUESTIONABLE,,,
2025,REG,BUF,2,Dawson Knox,TE,Hip,LP,LP,FP,(-),,,
2025,REG,BUF,2,Greg Rousseau,DE,Knee,LP,LP,FP,(-),,,
2025,REG,BUF,2,Tre'Davious White,CB,Groin,LP,LP,LP,QUESTIONABLE,,,
2025,REG,BUF,2,Ed Oliver,DT,Ankle,(-),DNP,DNP,OUT,,,
2025,REG,BUF,2,Jordan Hancock,DB,Shoulder,(-),LP,LP,QUESTIONABLE,,,
2025,REG,BUF,3,Shaq Thompson,OLB,Hamstring/Hand,LP,,,QUESTIONABLE,LP,LP,
2025,REG,BUF,3,Jordan Hancock,DB,Shoulder,FP,,,(-),FP,FP,
2025,REG,BUF,3,Taron Johnson,CB,Quad,LP,,,QUESTIONABLE,LP,LP,
2025,REG,BUF,3,Cam Lewis,DB,Shoulder,LP,,,QUESTIONABLE,LP,LP,
2025,REG,BUF,3,Matt Milano,LB,Pectoral,DNP,,,OUT,DNP,DNP,
2025,REG,BUF,3,Ed Oliver,DT,Ankle,DNP,,,OUT,DNP,DNP,
2025,REG,BUF,4,Spencer Brown,T,Calf,DNP,DNP,LP,QUESTIONABLE,,,
2025,REG,BUF,4,A.J. Epenesa,DE,Pectoral,LP,LP,LP,QUESTIONABLE,,,
2025,REG,BUF,4,Matt Milano,LB,Pectoral,DNP,DNP,DNP,OUT,,,
2025,REG,BUF,4,Ed Oliver,DT,Ankle,DNP,DNP,DNP,OUT,,,
2025,REG,BUF,5,Spencer Brown,T,Calf,LP,LP,LP,QUESTIONABLE,,,
2025,REG,BUF,5,Jackson Hawes,TE,Ankle,LP,LP,FP,(-),,,
2025,REG,BUF,5,Ed Oliver,DT,Ankle,LP,LP,LP,QUESTIONABLE,,,
2025,REG,BUF,5,Matt Milano,LB,Pectoral,LP,LP,LP,QUESTIONABLE,,,
2025,REG,BUF,5,Dorian Williams,LB,Knee,DNP,DNP,DNP,OUT,,,
2025,REG,BUF,5,Joey Bosa,DE,Vet Rest,LP,FP,FP,(-),,,
2025,REG,BUF,5,T.J. Sanders,DT,Knee,(-),LP,LP,QUESTIONABLE,,,
2025,REG,BUF,5,Dorian Strong,CB,Neck,(-),DNP,DNP,OUT,,,
2025,REG,BUF,6,Dion Dawkins,T,Thumb,,LP,FP,(-),,,FP
2025,REG,BUF,6,Damar Hamlin,S,Pectoral,,LP,DNP,OUT,,,DNP
2025,REG,BUF,6,Dalton Kincaid,TE,Oblique,,LP,LP,QUESTIONABLE,,,LP
2025,REG,BUF,6,Matt Milano,LB,Pectoral,,DNP,DNP,OUT,,,DNP
2025,REG,BUF,6,Ed Oliver,DT,Ankle,,LP,LP,(-),,,FP
